HOME_CBG,STREET_ADDRESS,LATITUDE,LONGITUDE,YearRange,Average_Visits
010010206001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
010010207001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,4.0
010010209003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010030104003,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010030107031,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010030107041,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010030109051,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,1.0
010030112023,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010030113001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010030114031,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,6.0
010030114033,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010030114052,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
010030114052,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010030114061,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010030114062,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010030114062,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010030114062,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,8.0
010030114062,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010030114063,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010030114071,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010030114072,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
010030114072,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010030114081,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010030115021,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.0
010059504002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010059505001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010059509001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010090506023,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010090507004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010119521001,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010119521001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010139533002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010150006001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,7.5
010150012012,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010150016004,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010179538001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010179539001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,39.0
010179540004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010179542002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010179542002,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010179543001,1025 Ga-34 Walmart Supercenter,33.3935,-84.743611,2022-2023,8.0
010179543001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010179543001,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,9.0
010179543001,2717 Ga-54 In Walmart Supercenter,33.401154,-84.599935,2022-2023,4.0
010179543002,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
010179543002,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2022-2023,8.0
010179543004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010179545004,1025 Ga-34 Walmart Supercenter,33.393687,-84.74375,2024-2025,5.0
010179546003,1025 Ga 34 Walmart Supercenter,33.393687,-84.74375,2022-2023,7.0
