LOCATION_NAME,COUNT
Walmart Pharmacy,34717022
Walmart Vision Center,31062566
Walmart Photo Center,30712579
Walmart Auto Care Center,24814232
Walmart Supercenter,18373377
Walmart Fuel Station,2280110
Walmart Neighborhood Market,1824480
Walmart,1596187
Walmart Distribution,830694
Sunbelt Rentals Inside Walmart,300644
Walmart Plaza,253012
Walmart Center,150905
Walmart Care Clinic,145209
Walmart Supercenter San Antonio Supercenter,125979
Walmart Supercenter Houston Supercenter,117977
Walmart Health,114932
Minute Key Walmart,94366
Walmart Supercenter Jacksonville Supercenter,83993
Walmart Shopping Center,83472
Walmart Supercenter Dallas Supercenter,71571
Walmart Vision & Glasses,64677
Walmart Supercenter Las Vegas Supercenter,54287
Walmart Supercenter Phoenix Supercenter,54129
Walmart Supercenter Fort Worth Supercenter,54125
Walmart Supercenter Springfield Supercenter,52174
Walmart Supercenter Tampa Supercenter,50906
Walmart Supercenter Columbus Supercenter,50044
Walmart Supercenter Orlando Supercenter,48646
Walmart Supercenter Oklahoma City Supercenter,44086
Walmart Supercenter Greenville Supercenter,42103
Walmart Supercenter Columbia Supercenter,41798
Walmart Supercenter Austin Supercenter,40494
Walmart Supercenter Lexington Supercenter,40009
Walmart Supercenter Mesa Supercenter,39486
Walmart Auto Center,37069
Walmart Supercenter Fayetteville Supercenter,36379
ABC Insurance Agency Walmart,35887
Walmart Supercenter El Paso Supercenter,35520
Walmart Sleep Shop,35520
Walmart Supercenter Wichita Supercenter,34741
Walmart Supercenter Tucson Supercenter,33906
Walmart Supercenter Miami Supercenter,33522
Walmart Supercenter Richmond Supercenter,33517
Walmart Supercenter Plano Supercenter,32681
Walmart Supercenter Charlotte Supercenter,31588
Walmart Supercenter Aurora Supercenter,31585
Walmart Supercenter Washington Supercenter,30114
Walmart Supercenter Baton Rouge Supercenter,30087
Walmart Supercenter Madison Supercenter,28974
Walmart Supercenter Corpus Christi Supercenter,28913
Walmart Supercenter Cleveland Supercenter,28295
