strata,variable,estimate,lci,uci,type,Stratification
18-19,overweight,17.732298786197877,12.463215522074425,24.602907754757826,Proportion,age_group_pursuant
18-19,obesity,25.618819572657237,20.53999127639412,31.4563177261402,Proportion,age_group_pursuant
20-44,overweight,31.667045602857996,28.86180916175877,34.612277410620635,Proportion,age_group_pursuant
20-44,obesity,36.65474450307292,31.431220557531482,42.211950368011195,Proportion,age_group_pursuant
45-64,overweight,30.6892335400684,28.651386536407543,32.80538024617382,Proportion,age_group_pursuant
45-64,obesity,46.41066950283436,43.0097329071671,49.84532151723652,Proportion,age_group_pursuant
65+,overweight,35.66210161281814,34.10556655221304,37.249517674320835,Proportion,age_group_pursuant
65+,obesity,38.26298070854895,35.37364052844508,41.237731660572265,Proportion,age_group_pursuant
0,overweight,35.00895634646822,32.169132949839316,37.95918142047828,Proportion,female
0,obesity,38.656957465813306,34.789541829708405,42.67296031432706,Proportion,female
1,overweight,28.586550368558676,26.766158724002974,30.479221465305983,Proportion,female
1,obesity,40.8394893391522,36.3915967935217,45.442637273232215,Proportion,female
Hispanic,overweight,33.115905993907276,30.05325661464443,36.328561756788694,Proportion,race
Hispanic,obesity,43.04317261069486,35.26966046573855,51.175458867086085,Proportion,race
NH White,overweight,32.161243025806534,30.19493257204075,34.192878841673924,Proportion,race
NH White,obesity,39.15536484157383,35.588190372083496,42.84227347944214,Proportion,race
NH Black,overweight,27.66947861868762,24.17523630345109,31.45922942203602,Proportion,race
NH Black,obesity,51.11215888828401,46.38114650349416,55.823330674345904,Proportion,race
NH Other,overweight,31.368094718001732,25.42790715772802,37.98904113176444,Proportion,race
NH Other,obesity,28.537722638733015,21.490932048987894,36.81171546987546,Proportion,race
