Start,Stop,fips,County_StateAbb,County,StateAbb,Obesity,Overweight,Ncount
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21215,"SPENCER, KY",SPENCER,KY,49.8,37.7,11943
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13213,"MURRAY, GA",MURRAY,GA,49.7,36.6,22692
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,20043,"DONIPHAN, KS",DONIPHAN,KS,49.6,32.9,3802
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37187,"WASHINGTON, NC",WASHINGTON,NC,49.4,31.9,7623
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21123,"LARUE, KY",LARUE,KY,49.3,34.3,9678
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29063,"DEKALB, MO",DEKALB,MO,48.8,31.2,4071
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21195,"PIKE, KY",PIKE,KY,48.7,35.2,36776
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21071,"FLOYD, KY",FLOYD,KY,48.3,30.6,16879
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21005,"ANDERSON, KY",ANDERSON,KY,48.2,34.4,14309
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21029,"BULLITT, KY",BULLITT,KY,47.8,35.7,57118
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29003,"ANDREW, MO",ANDREW,MO,47.7,34.6,10204
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21163,"MEADE, KY",MEADE,KY,47.5,33.9,14818
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29021,"BUCHANAN, MO",BUCHANAN,MO,47.4,35,53548
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21225,"UNION, KY",UNION,KY,47.4,34.6,9044
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37117,"MARTIN, NC",MARTIN,NC,47.3,31,15222
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,13129,"GORDON, GA",GORDON,GA,47.3,36,33806
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,37015,"BERTIE, NC",BERTIE,NC,47.1,29,13970
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,29075,"GENTRY, MO",GENTRY,MO,47.1,32.5,3758
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21103,"HENRY, KY",HENRY,KY,47,36.5,13069
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21223,"TRIMBLE, KY",TRIMBLE,KY,47,33.6,4331
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21101,"HENDERSON, KY",HENDERSON,KY,46.9,34.7,30628
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,21181,"NICHOLAS, KY",NICHOLAS,KY,46.9,28.3,1730
