index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d33385d6bcb2/link,,home-location_0_0_0.csv.gz,.csv.gz,262158983,2025-06-30T15:13:30.720000+00:00,dwll_0197f4fe-e464-7130-bd58-d33385d6bcb2,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d33385d6bcb2/link
1,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d34a630ee952/link,,home-location_0_0_1.csv.gz,.csv.gz,262151517,2025-06-30T15:14:20.954000+00:00,dwll_0197f4fe-e464-7130-bd58-d34a630ee952,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d34a630ee952/link
2,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d359f387bd42/link,,home-location_0_0_2.csv.gz,.csv.gz,262157681,2025-06-30T15:15:16.827000+00:00,dwll_0197f4fe-e464-7130-bd58-d359f387bd42,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d359f387bd42/link
3,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d36e6a9caf4d/link,,home-location_0_0_3.csv.gz,.csv.gz,262170901,2025-06-30T15:16:22.320000+00:00,dwll_0197f4fe-e464-7130-bd58-d36e6a9caf4d,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d36e6a9caf4d/link
4,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d37e53499417/link,,home-location_0_0_4.csv.gz,.csv.gz,262173384,2025-06-30T15:17:18.643000+00:00,dwll_0197f4fe-e464-7130-bd58-d37e53499417,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d37e53499417/link
5,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d385b75f55c1/link,,home-location_0_0_5.csv.gz,.csv.gz,262155144,2025-06-30T15:18:18.185000+00:00,dwll_0197f4fe-e464-7130-bd58-d385b75f55c1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d385b75f55c1/link
6,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d394acb4fe44/link,,home-location_0_0_6.csv.gz,.csv.gz,262152977,2025-06-30T15:19:16.309000+00:00,dwll_0197f4fe-e464-7130-bd58-d394acb4fe44,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d394acb4fe44/link
7,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3a6011b8fea/link,,home-location_0_0_7.csv.gz,.csv.gz,136369211,2025-06-30T15:20:11.432000+00:00,dwll_0197f4fe-e464-7130-bd58-d3a6011b8fea,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3a6011b8fea/link
8,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3bbd7f5d4b2/link,,home-location_0_1_0.csv.gz,.csv.gz,262153680,2025-06-30T15:13:31.824000+00:00,dwll_0197f4fe-e464-7130-bd58-d3bbd7f5d4b2,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3bbd7f5d4b2/link
9,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3c7d86e3b27/link,,home-location_0_1_1.csv.gz,.csv.gz,262160485,2025-06-30T15:14:21.697000+00:00,dwll_0197f4fe-e464-7130-bd58-d3c7d86e3b27,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3c7d86e3b27/link
10,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3d0a5bcd3ae/link,,home-location_0_1_2.csv.gz,.csv.gz,262154573,2025-06-30T15:15:17.143000+00:00,dwll_0197f4fe-e464-7130-bd58-d3d0a5bcd3ae,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3d0a5bcd3ae/link
11,1,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3e01ef1bafb/link,,home-location_0_1_3.csv.gz,.csv.gz,262170218,2025-06-30T15:16:21.878000+00:00,dwll_0197f4fe-e464-7130-bd58-d3e01ef1bafb,https://app.deweydata.io/api/v1/downloads/0197f4fe-e464-7130-bd58-d3e01ef1bafb/link
