index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link,partition_key_dt,date,is_weekday,year,month,date_dt
1024,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f31f0089de8/link,2025-01-05,part-00000-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2339-1-c000.snappy.parquet,.snappy.parquet,45332271,2025-02-11T19:18:37.722000+00:00,dwll_0197fb7b-063d-7c40-a736-1f31f0089de8,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f31f0089de8/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1025,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f458f17b2c4/link,2025-01-05,part-00001-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2263-1-c000.snappy.parquet,.snappy.parquet,45350636,2025-02-11T19:13:22.502000+00:00,dwll_0197fb7b-063d-7c40-a736-1f458f17b2c4,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f458f17b2c4/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1026,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f51960459ad/link,2025-01-05,part-00002-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2141-1-c000.snappy.parquet,.snappy.parquet,45337474,2025-02-11T19:14:40.825000+00:00,dwll_0197fb7b-063d-7c40-a736-1f51960459ad,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f51960459ad/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1027,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f6db778c57f/link,2025-01-05,part-00003-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2144-1-c000.snappy.parquet,.snappy.parquet,45565062,2025-02-11T19:15:48.631000+00:00,dwll_0197fb7b-063d-7c40-a736-1f6db778c57f,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f6db778c57f/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1028,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f7dbfd6bfc3/link,2025-01-05,part-00004-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2213-1-c000.snappy.parquet,.snappy.parquet,45507970,2025-02-11T19:17:24.495000+00:00,dwll_0197fb7b-063d-7c40-a736-1f7dbfd6bfc3,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f7dbfd6bfc3/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1029,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f8298aeebe2/link,2025-01-05,part-00005-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2205-1-c000.snappy.parquet,.snappy.parquet,45499788,2025-02-11T19:18:37.726000+00:00,dwll_0197fb7b-063d-7c40-a736-1f8298aeebe2,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f8298aeebe2/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1030,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f99966d9c9a/link,2025-01-05,part-00006-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2193-1-c000.snappy.parquet,.snappy.parquet,45496438,2025-02-11T19:13:22.674000+00:00,dwll_0197fb7b-063d-7c40-a736-1f99966d9c9a,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1f99966d9c9a/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1031,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1fa9e6e1aacd/link,2025-01-05,part-00007-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2151-1-c000.snappy.parquet,.snappy.parquet,45648411,2025-02-11T19:14:40.845000+00:00,dwll_0197fb7b-063d-7c40-a736-1fa9e6e1aacd,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1fa9e6e1aacd/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1032,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1fb5e0e33394/link,2025-01-05,part-00008-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2365-1-c000.snappy.parquet,.snappy.parquet,45006993,2025-02-11T19:15:48.708000+00:00,dwll_0197fb7b-063d-7c40-a736-1fb5e0e33394,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1fb5e0e33394/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
1033,21,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1fc87fdfd26b/link,2025-01-05,part-00009-tid-2371072875054980584-f6d2d7af-9cf7-4701-9a24-0ead0a272e68-2285-1-c000.snappy.parquet,.snappy.parquet,45345999,2025-02-11T19:17:24.629000+00:00,dwll_0197fb7b-063d-7c40-a736-1fc87fdfd26b,https://app.deweydata.io/api/v1/downloads/0197fb7b-063d-7c40-a736-1fc87fdfd26b/link,2025-01-05,2025-01-05,False,2025,1,2025-01-05
