index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46484e6b8bea/link,2024-12-01,part-00000-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-381-1-c000.snappy.parquet,.snappy.parquet,40777521,2025-02-11T19:17:18.047000+00:00,dwll_019805a8-3457-7a30-801c-46484e6b8bea,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46484e6b8bea/link
1,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-4650d07536ed/link,2024-12-01,part-00001-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-595-1-c000.snappy.parquet,.snappy.parquet,40463134,2025-02-11T19:18:46.907000+00:00,dwll_019805a8-3457-7a30-801c-4650d07536ed,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-4650d07536ed/link
2,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-466a4c6fbe8b/link,2024-12-01,part-00002-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-509-1-c000.snappy.parquet,.snappy.parquet,40651058,2025-02-11T19:12:59.182000+00:00,dwll_019805a8-3457-7a30-801c-466a4c6fbe8b,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-466a4c6fbe8b/link
3,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-467d3cab65e7/link,2024-12-01,part-00003-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-366-1-c000.snappy.parquet,.snappy.parquet,40921168,2025-02-11T19:14:33.789000+00:00,dwll_019805a8-3457-7a30-801c-467d3cab65e7,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-467d3cab65e7/link
4,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-4686f9084822/link,2024-12-01,part-00004-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-591-1-c000.snappy.parquet,.snappy.parquet,40470136,2025-02-11T19:15:43.396000+00:00,dwll_019805a8-3457-7a30-801c-4686f9084822,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-4686f9084822/link
5,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-469b9f83a227/link,2024-12-01,part-00005-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-426-1-c000.snappy.parquet,.snappy.parquet,40776830,2025-02-11T19:17:17.965000+00:00,dwll_019805a8-3457-7a30-801c-469b9f83a227,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-469b9f83a227/link
6,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46a9cb03d2dd/link,2024-12-01,part-00006-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-405-1-c000.snappy.parquet,.snappy.parquet,40693172,2025-02-11T19:18:46.989000+00:00,dwll_019805a8-3457-7a30-801c-46a9cb03d2dd,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46a9cb03d2dd/link
7,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46bdd56ec6a6/link,2024-12-01,part-00007-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-511-1-c000.snappy.parquet,.snappy.parquet,40724392,2025-02-11T19:12:59.185000+00:00,dwll_019805a8-3457-7a30-801c-46bdd56ec6a6,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46bdd56ec6a6/link
8,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46cf41b5e124/link,2024-12-01,part-00008-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-600-1-c000.snappy.parquet,.snappy.parquet,40456476,2025-02-11T19:14:33.783000+00:00,dwll_019805a8-3457-7a30-801c-46cf41b5e124,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46cf41b5e124/link
9,1,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46d2c6466f0e/link,2024-12-01,part-00009-tid-7775685125485977529-235f3dd1-2f44-45c0-8ea7-4e831bf7fd34-581-1-c000.snappy.parquet,.snappy.parquet,40305386,2025-02-11T19:15:43.481000+00:00,dwll_019805a8-3457-7a30-801c-46d2c6466f0e,https://app.deweydata.io/api/v1/downloads/019805a8-3457-7a30-801c-46d2c6466f0e/link
