,index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,0,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b18a6ada540c/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_0.csv.gz,.csv.gz,209764010,2025-07-04T04:15:33.547000+00:00,dwll_01981e44-9594-7ee1-b9bb-b18a6ada540c,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b18a6ada540c/link
1,1,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b19811ec7c28/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_10.csv.gz,.csv.gz,209729564,2025-07-04T04:25:09.645000+00:00,dwll_01981e44-9594-7ee1-b9bb-b19811ec7c28,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b19811ec7c28/link
2,2,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1a3fdfc4b3f/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_11.csv.gz,.csv.gz,209748393,2025-07-04T04:25:58.223000+00:00,dwll_01981e44-9594-7ee1-b9bb-b1a3fdfc4b3f,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1a3fdfc4b3f/link
3,3,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1bdcf480f23/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_12.csv.gz,.csv.gz,209735682,2025-07-04T04:26:22.956000+00:00,dwll_01981e44-9594-7ee1-b9bb-b1bdcf480f23,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1bdcf480f23/link
4,4,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1c35a155b14/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_13.csv.gz,.csv.gz,209742770,2025-07-04T04:26:55.914000+00:00,dwll_01981e44-9594-7ee1-b9bb-b1c35a155b14,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1c35a155b14/link
5,5,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1dd6f7b08bc/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_14.csv.gz,.csv.gz,209725682,2025-07-04T04:27:44.049000+00:00,dwll_01981e44-9594-7ee1-b9bb-b1dd6f7b08bc,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1dd6f7b08bc/link
6,6,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1e9285880d8/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_15.csv.gz,.csv.gz,209734879,2025-07-04T04:28:18.342000+00:00,dwll_01981e44-9594-7ee1-b9bb-b1e9285880d8,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1e9285880d8/link
7,7,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1f4531cb733/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_16.csv.gz,.csv.gz,209757433,2025-07-04T04:29:00.011000+00:00,dwll_01981e44-9594-7ee1-b9bb-b1f4531cb733,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b1f4531cb733/link
8,8,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b201f00e123a/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_17.csv.gz,.csv.gz,209738089,2025-07-04T04:29:37.122000+00:00,dwll_01981e44-9594-7ee1-b9bb-b201f00e123a,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b201f00e123a/link
9,9,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b211958fc293/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_18.csv.gz,.csv.gz,209761510,2025-07-04T04:30:52.325000+00:00,dwll_01981e44-9594-7ee1-b9bb-b211958fc293,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b211958fc293/link
10,10,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b227c4f7a051/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_19.csv.gz,.csv.gz,209756296,2025-07-04T04:31:28.936000+00:00,dwll_01981e44-9594-7ee1-b9bb-b227c4f7a051,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b227c4f7a051/link
11,11,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2373c92ffb8/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_1.csv.gz,.csv.gz,209734335,2025-07-04T04:16:29.396000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2373c92ffb8,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2373c92ffb8/link
12,12,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2459bd1bd25/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_20.csv.gz,.csv.gz,209731260,2025-07-04T04:32:21.101000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2459bd1bd25,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2459bd1bd25/link
13,13,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b253f8af650e/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_21.csv.gz,.csv.gz,209732384,2025-07-04T04:40:41.270000+00:00,dwll_01981e44-9594-7ee1-b9bb-b253f8af650e,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b253f8af650e/link
14,14,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b26af4503674/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_22.csv.gz,.csv.gz,209718827,2025-07-04T04:41:50.358000+00:00,dwll_01981e44-9594-7ee1-b9bb-b26af4503674,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b26af4503674/link
15,15,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b27500903c8e/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_23.csv.gz,.csv.gz,209739123,2025-07-04T04:42:30.163000+00:00,dwll_01981e44-9594-7ee1-b9bb-b27500903c8e,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b27500903c8e/link
16,16,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b283f0d20a96/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_24.csv.gz,.csv.gz,209760965,2025-07-04T04:43:26.907000+00:00,dwll_01981e44-9594-7ee1-b9bb-b283f0d20a96,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b283f0d20a96/link
17,17,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b29a7f07da71/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_25.csv.gz,.csv.gz,209730460,2025-07-04T04:44:13.298000+00:00,dwll_01981e44-9594-7ee1-b9bb-b29a7f07da71,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b29a7f07da71/link
18,18,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2a324879d5a/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_26.csv.gz,.csv.gz,209748219,2025-07-04T04:45:02.675000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2a324879d5a,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2a324879d5a/link
19,19,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2b727582902/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_27.csv.gz,.csv.gz,209723832,2025-07-04T04:45:43.429000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2b727582902,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2b727582902/link
20,20,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2c45f48ba71/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_28.csv.gz,.csv.gz,209743363,2025-07-04T04:46:11.968000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2c45f48ba71,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2c45f48ba71/link
21,21,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2dadfbe2ca8/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_29.csv.gz,.csv.gz,209749401,2025-07-04T04:46:39.017000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2dadfbe2ca8,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2dadfbe2ca8/link
22,22,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2e5931340a7/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_2.csv.gz,.csv.gz,209737108,2025-07-04T04:17:12.273000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2e5931340a7,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2e5931340a7/link
23,23,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2f4b427da50/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_30.csv.gz,.csv.gz,209746498,2025-07-04T04:47:16.373000+00:00,dwll_01981e44-9594-7ee1-b9bb-b2f4b427da50,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b2f4b427da50/link
24,24,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3081957f279/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_31.csv.gz,.csv.gz,209729217,2025-07-04T04:47:51.508000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3081957f279,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3081957f279/link
25,25,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b31809a599f1/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_32.csv.gz,.csv.gz,209743896,2025-07-04T04:48:17.478000+00:00,dwll_01981e44-9594-7ee1-b9bb-b31809a599f1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b31809a599f1/link
26,26,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b32d0aa78740/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_33.csv.gz,.csv.gz,209746577,2025-07-04T04:48:39.958000+00:00,dwll_01981e44-9594-7ee1-b9bb-b32d0aa78740,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b32d0aa78740/link
27,27,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b33c1359ec58/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_34.csv.gz,.csv.gz,209747796,2025-07-04T04:49:07.815000+00:00,dwll_01981e44-9594-7ee1-b9bb-b33c1359ec58,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b33c1359ec58/link
28,28,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b346bed40eec/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_35.csv.gz,.csv.gz,209761401,2025-07-04T04:49:54.178000+00:00,dwll_01981e44-9594-7ee1-b9bb-b346bed40eec,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b346bed40eec/link
29,29,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b35b24719afc/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_36.csv.gz,.csv.gz,209755246,2025-07-04T04:50:16.123000+00:00,dwll_01981e44-9594-7ee1-b9bb-b35b24719afc,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b35b24719afc/link
30,30,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3677ae2ad02/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_37.csv.gz,.csv.gz,209757537,2025-07-04T04:50:45.724000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3677ae2ad02,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3677ae2ad02/link
31,31,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b37db3dd901f/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_38.csv.gz,.csv.gz,209746579,2025-07-04T04:51:40.812000+00:00,dwll_01981e44-9594-7ee1-b9bb-b37db3dd901f,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b37db3dd901f/link
32,32,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b38218bc094a/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_39.csv.gz,.csv.gz,209722725,2025-07-04T04:52:12.920000+00:00,dwll_01981e44-9594-7ee1-b9bb-b38218bc094a,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b38218bc094a/link
33,33,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b39b5d292188/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_3.csv.gz,.csv.gz,209762426,2025-07-04T04:18:31.988000+00:00,dwll_01981e44-9594-7ee1-b9bb-b39b5d292188,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b39b5d292188/link
34,34,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3a3245ab5cb/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_40.csv.gz,.csv.gz,209749365,2025-07-04T04:53:17.458000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3a3245ab5cb,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3a3245ab5cb/link
35,35,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3bbda008f7d/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_41.csv.gz,.csv.gz,209716851,2025-07-04T04:53:55.686000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3bbda008f7d,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3bbda008f7d/link
36,36,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3c222627644/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_42.csv.gz,.csv.gz,209751043,2025-07-04T04:58:22.847000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3c222627644,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3c222627644/link
37,37,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3d43525f3d1/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_43.csv.gz,.csv.gz,209720689,2025-07-04T04:59:00.449000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3d43525f3d1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3d43525f3d1/link
38,38,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3ebc9cd162a/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_44.csv.gz,.csv.gz,209731620,2025-07-04T04:59:45.255000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3ebc9cd162a,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3ebc9cd162a/link
39,39,1,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3fc6924c548/link,2019-01,data_01bd7440-0105-dcc9-0042-fa0702ed2712_03_1_45.csv.gz,.csv.gz,209764626,2025-07-04T05:00:32.832000+00:00,dwll_01981e44-9594-7ee1-b9bb-b3fc6924c548,https://app.deweydata.io/api/v1/downloads/01981e44-9594-7ee1-b9bb-b3fc6924c548/link
