index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48a8c67a1785/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_0.csv.gz,.csv.gz,41974143,2025-04-24T21:44:59.259000+00:00,dwll_0197d736-2c9f-7d72-97f0-48a8c67a1785,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48a8c67a1785/link
1,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48bfe7f2fc55/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_10.csv.gz,.csv.gz,41969949,2025-04-24T21:49:15.150000+00:00,dwll_0197d736-2c9f-7d72-97f0-48bfe7f2fc55,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48bfe7f2fc55/link
2,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48cbe23786ef/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_11.csv.gz,.csv.gz,41976935,2025-04-24T21:49:55.422000+00:00,dwll_0197d736-2c9f-7d72-97f0-48cbe23786ef,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48cbe23786ef/link
3,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48d65c6a062b/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_12.csv.gz,.csv.gz,41966853,2025-04-24T21:50:21.207000+00:00,dwll_0197d736-2c9f-7d72-97f0-48d65c6a062b,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48d65c6a062b/link
4,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48efb73e7797/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_13.csv.gz,.csv.gz,41967332,2025-04-24T21:50:46.617000+00:00,dwll_0197d736-2c9f-7d72-97f0-48efb73e7797,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48efb73e7797/link
5,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48fe464c8b75/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_14.csv.gz,.csv.gz,41992407,2025-04-24T21:51:06.941000+00:00,dwll_0197d736-2c9f-7d72-97f0-48fe464c8b75,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-48fe464c8b75/link
6,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49070f66483f/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_15.csv.gz,.csv.gz,41968772,2025-04-24T21:51:23.454000+00:00,dwll_0197d736-2c9f-7d72-97f0-49070f66483f,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49070f66483f/link
7,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-491bf83da71d/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_16.csv.gz,.csv.gz,42015189,2025-04-24T21:52:07.005000+00:00,dwll_0197d736-2c9f-7d72-97f0-491bf83da71d,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-491bf83da71d/link
8,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-492517bbb71b/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_17.csv.gz,.csv.gz,41950159,2025-04-24T21:52:31.897000+00:00,dwll_0197d736-2c9f-7d72-97f0-492517bbb71b,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-492517bbb71b/link
9,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4935c670aa8f/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_18.csv.gz,.csv.gz,41971048,2025-04-24T21:52:57.927000+00:00,dwll_0197d736-2c9f-7d72-97f0-4935c670aa8f,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4935c670aa8f/link
10,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-494d6e3488bd/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_19.csv.gz,.csv.gz,41973599,2025-04-24T21:53:26.910000+00:00,dwll_0197d736-2c9f-7d72-97f0-494d6e3488bd,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-494d6e3488bd/link
11,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4955f07a9f23/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_1.csv.gz,.csv.gz,41961727,2025-04-24T21:46:13.097000+00:00,dwll_0197d736-2c9f-7d72-97f0-4955f07a9f23,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4955f07a9f23/link
12,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-496feaee8bcc/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_20.csv.gz,.csv.gz,41993551,2025-04-24T21:53:59.465000+00:00,dwll_0197d736-2c9f-7d72-97f0-496feaee8bcc,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-496feaee8bcc/link
13,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4974570641ee/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_21.csv.gz,.csv.gz,42007585,2025-04-24T21:54:24.633000+00:00,dwll_0197d736-2c9f-7d72-97f0-4974570641ee,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4974570641ee/link
14,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-498bf1e3e5ef/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_22.csv.gz,.csv.gz,41974347,2025-04-24T21:54:38.705000+00:00,dwll_0197d736-2c9f-7d72-97f0-498bf1e3e5ef,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-498bf1e3e5ef/link
15,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4990a7ea6ab6/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_23.csv.gz,.csv.gz,41987402,2025-04-24T21:55:03.666000+00:00,dwll_0197d736-2c9f-7d72-97f0-4990a7ea6ab6,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4990a7ea6ab6/link
16,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49a869359d29/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_24.csv.gz,.csv.gz,41993015,2025-04-24T21:55:55.781000+00:00,dwll_0197d736-2c9f-7d72-97f0-49a869359d29,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49a869359d29/link
17,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49b1a536fb42/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_25.csv.gz,.csv.gz,42003725,2025-04-24T21:56:14.126000+00:00,dwll_0197d736-2c9f-7d72-97f0-49b1a536fb42,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49b1a536fb42/link
18,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49cf07a4b53f/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_26.csv.gz,.csv.gz,42021542,2025-04-24T21:56:33.090000+00:00,dwll_0197d736-2c9f-7d72-97f0-49cf07a4b53f,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49cf07a4b53f/link
19,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49de89b826a5/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_27.csv.gz,.csv.gz,41987005,2025-04-24T21:57:04.379000+00:00,dwll_0197d736-2c9f-7d72-97f0-49de89b826a5,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49de89b826a5/link
20,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49ebe2a38f7a/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_28.csv.gz,.csv.gz,41950197,2025-04-24T21:57:43.432000+00:00,dwll_0197d736-2c9f-7d72-97f0-49ebe2a38f7a,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49ebe2a38f7a/link
21,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49fb01c7716a/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_29.csv.gz,.csv.gz,41981047,2025-04-24T21:58:06.384000+00:00,dwll_0197d736-2c9f-7d72-97f0-49fb01c7716a,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-49fb01c7716a/link
22,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a03b51e23f0/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_2.csv.gz,.csv.gz,42000516,2025-04-24T21:46:44.139000+00:00,dwll_0197d736-2c9f-7d72-97f0-4a03b51e23f0,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a03b51e23f0/link
23,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a114045e8a6/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_30.csv.gz,.csv.gz,42017660,2025-04-24T21:58:34.651000+00:00,dwll_0197d736-2c9f-7d72-97f0-4a114045e8a6,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a114045e8a6/link
24,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a2fd6c100a7/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_31.csv.gz,.csv.gz,42003229,2025-04-24T21:58:59.395000+00:00,dwll_0197d736-2c9f-7d72-97f0-4a2fd6c100a7,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a2fd6c100a7/link
25,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a3ffa42bc5e/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_32.csv.gz,.csv.gz,41962567,2025-04-24T21:59:22.369000+00:00,dwll_0197d736-2c9f-7d72-97f0-4a3ffa42bc5e,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a3ffa42bc5e/link
26,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a4680934c4e/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_33.csv.gz,.csv.gz,41955280,2025-04-24T22:00:20.793000+00:00,dwll_0197d736-2c9f-7d72-97f0-4a4680934c4e,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a4680934c4e/link
27,1,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a53d03694f7/link,2018-01,data_01bbe957-0205-0e72-0042-fa07022ae606_304_7_34.csv.gz,.csv.gz,42001496,2025-04-24T22:00:51.791000+00:00,dwll_0197d736-2c9f-7d72-97f0-4a53d03694f7,https://app.deweydata.io/api/v1/downloads/0197d736-2c9f-7d72-97f0-4a53d03694f7/link
