index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b22384e819e/link,,brand-and-demographic-cohort-breakout_0_0_0.csv.gz,.csv.gz,41634191,2025-05-06T19:06:38.414000+00:00,dwll_0197d265-35af-7472-a164-4b22384e819e,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b22384e819e/link
1,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b3a8f5f851e/link,,brand-and-demographic-cohort-breakout_0_1_0.csv.gz,.csv.gz,42409479,2025-05-06T19:06:38.544000+00:00,dwll_0197d265-35af-7472-a164-4b3a8f5f851e,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b3a8f5f851e/link
2,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b455d32ae2d/link,,brand-and-demographic-cohort-breakout_0_2_0.csv.gz,.csv.gz,27554255,2025-05-06T19:06:25.595000+00:00,dwll_0197d265-35af-7472-a164-4b455d32ae2d,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b455d32ae2d/link
3,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b52a3fdeac6/link,,brand-and-demographic-cohort-breakout_0_3_0.csv.gz,.csv.gz,28255851,2025-05-06T19:06:22.916000+00:00,dwll_0197d265-35af-7472-a164-4b52a3fdeac6,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b52a3fdeac6/link
4,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b632f802af0/link,,brand-and-demographic-cohort-breakout_0_4_0.csv.gz,.csv.gz,28284196,2025-05-06T19:06:22.530000+00:00,dwll_0197d265-35af-7472-a164-4b632f802af0,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b632f802af0/link
5,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b7a7d509e87/link,,brand-and-demographic-cohort-breakout_0_5_0.csv.gz,.csv.gz,28273366,2025-05-06T19:06:22.199000+00:00,dwll_0197d265-35af-7472-a164-4b7a7d509e87,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b7a7d509e87/link
6,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b88148650ac/link,,brand-and-demographic-cohort-breakout_0_6_0.csv.gz,.csv.gz,42459696,2025-05-06T19:06:33.236000+00:00,dwll_0197d265-35af-7472-a164-4b88148650ac,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b88148650ac/link
7,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b9d836bfc8e/link,,brand-and-demographic-cohort-breakout_0_7_0.csv.gz,.csv.gz,27515659,2025-05-06T19:06:23.742000+00:00,dwll_0197d265-35af-7472-a164-4b9d836bfc8e,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4b9d836bfc8e/link
8,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bab1f75ea63/link,,brand-and-demographic-cohort-breakout_1_0_0.csv.gz,.csv.gz,43178429,2025-05-06T19:06:46.930000+00:00,dwll_0197d265-35af-7472-a164-4bab1f75ea63,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bab1f75ea63/link
9,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bb5fb0b7492/link,,brand-and-demographic-cohort-breakout_1_1_0.csv.gz,.csv.gz,28284021,2025-05-06T19:06:31.826000+00:00,dwll_0197d265-35af-7472-a164-4bb5fb0b7492,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bb5fb0b7492/link
10,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bc00dd57840/link,,brand-and-demographic-cohort-breakout_1_2_0.csv.gz,.csv.gz,27571324,2025-05-06T19:06:22.646000+00:00,dwll_0197d265-35af-7472-a164-4bc00dd57840,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bc00dd57840/link
11,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bde80680437/link,,brand-and-demographic-cohort-breakout_1_3_0.csv.gz,.csv.gz,42420823,2025-05-06T19:06:36.215000+00:00,dwll_0197d265-35af-7472-a164-4bde80680437,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bde80680437/link
12,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4be92d4afa2a/link,,brand-and-demographic-cohort-breakout_1_4_0.csv.gz,.csv.gz,28239280,2025-05-06T19:06:22.003000+00:00,dwll_0197d265-35af-7472-a164-4be92d4afa2a,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4be92d4afa2a/link
13,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bf70d4e628b/link,,brand-and-demographic-cohort-breakout_1_5_0.csv.gz,.csv.gz,33196535,2025-05-06T19:06:32.022000+00:00,dwll_0197d265-35af-7472-a164-4bf70d4e628b,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4bf70d4e628b/link
14,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c02f6171495/link,,brand-and-demographic-cohort-breakout_1_6_0.csv.gz,.csv.gz,27553250,2025-05-06T19:06:22.003000+00:00,dwll_0197d265-35af-7472-a164-4c02f6171495,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c02f6171495/link
15,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c19ba55ffb6/link,,brand-and-demographic-cohort-breakout_1_7_0.csv.gz,.csv.gz,40300147,2025-05-06T19:06:44.287000+00:00,dwll_0197d265-35af-7472-a164-4c19ba55ffb6,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c19ba55ffb6/link
16,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c2c9a422f6f/link,,brand-and-demographic-cohort-breakout_2_0_0.csv.gz,.csv.gz,28256328,2025-05-06T19:06:24.045000+00:00,dwll_0197d265-35af-7472-a164-4c2c9a422f6f,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c2c9a422f6f/link
17,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c3494c9d511/link,,brand-and-demographic-cohort-breakout_2_1_0.csv.gz,.csv.gz,42318066,2025-05-06T19:06:34.646000+00:00,dwll_0197d265-35af-7472-a164-4c3494c9d511,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c3494c9d511/link
18,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c4acb945948/link,,brand-and-demographic-cohort-breakout_2_2_0.csv.gz,.csv.gz,28268412,2025-05-06T19:06:21.869000+00:00,dwll_0197d265-35af-7472-a164-4c4acb945948,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c4acb945948/link
19,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c587d9b2d20/link,,brand-and-demographic-cohort-breakout_2_3_0.csv.gz,.csv.gz,28254073,2025-05-06T19:06:24.120000+00:00,dwll_0197d265-35af-7472-a164-4c587d9b2d20,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c587d9b2d20/link
20,1,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c6847200887/link,,brand-and-demographic-cohort-breakout_2_4_0.csv.gz,.csv.gz,28247732,2025-05-06T19:06:22.992000+00:00,dwll_0197d265-35af-7472-a164-4c6847200887,https://app.deweydata.io/api/v1/downloads/0197d265-35af-7472-a164-4c6847200887/link
