Start,Stop,County_StateAbb,County,StateAbb,Obesity,StateGroup,Overweight,Ncount,N_DiagnosedHTN,State,Ncount_nested,fips
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SPENCER, KY",SPENCER,KY,49.8,State Group 1,37.7,11943,6215,Kentucky,11943,21215
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MURRAY, GA",MURRAY,GA,49.7,State Group 1,36.6,22692,10872,Georgia,22692,13213
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"DONIPHAN, KS",DONIPHAN,KS,49.6,State Group 1,32.9,3802,1916,Kansas,3802,20043
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WASHINGTON, NC",WASHINGTON,NC,49.4,State Group 1,31.9,7623,4522,North Carolina,7623,37187
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LARUE, KY",LARUE,KY,49.3,State Group 1,34.3,9678,5422,Kentucky,9678,21123
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"DEKALB, MO",DEKALB,MO,48.8,State Group 1,31.2,4071,2077,Missouri,4071,29063
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PIKE, KY",PIKE,KY,48.7,State Group 1,35.2,36776,19299,Kentucky,36776,21195
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FLOYD, KY",FLOYD,KY,48.3,State Group 1,30.6,16879,7856,Kentucky,16879,21071
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ANDERSON, KY",ANDERSON,KY,48.2,State Group 1,34.4,14309,7923,Kentucky,14309,21005
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BULLITT, KY",BULLITT,KY,47.8,State Group 1,35.7,57118,27598,Kentucky,57118,21029
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ANDREW, MO",ANDREW,MO,47.7,State Group 1,34.6,10204,5155,Missouri,10204,29003
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MEADE, KY",MEADE,KY,47.5,State Group 1,33.9,14818,7617,Kentucky,14818,21163
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BUCHANAN, MO",BUCHANAN,MO,47.4,State Group 1,35,53548,25298,Missouri,53548,29021
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"UNION, KY",UNION,KY,47.4,State Group 1,34.6,9044,4932,Kentucky,9044,21225
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MARTIN, NC",MARTIN,NC,47.3,State Group 1,31,15222,8551,North Carolina,15222,37117
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"GORDON, GA",GORDON,GA,47.3,State Group 1,36,33806,15638,Georgia,33806,13129
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BERTIE, NC",BERTIE,NC,47.1,State Group 1,29,13970,7913,North Carolina,13970,37015
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"GENTRY, MO",GENTRY,MO,47.1,State Group 1,32.5,3758,1980,Missouri,3758,29075
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HENRY, KY",HENRY,KY,47,State Group 1,36.5,13069,6545,Kentucky,13069,21103
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"TRIMBLE, KY",TRIMBLE,KY,47,State Group 1,33.6,4331,2264,Kentucky,4331,21223
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HENDERSON, KY",HENDERSON,KY,46.9,State Group 1,34.7,30628,16024,Kentucky,30628,21101
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"NICHOLAS, KY",NICHOLAS,KY,46.9,State Group 1,28.3,1730,872,Kentucky,1730,21181
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HARDIN, KY",HARDIN,KY,46.9,State Group 1,35.2,84708,41278,Kentucky,84708,21093
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"GATES, NC",GATES,NC,46.6,State Group 1,30.9,6807,3774,North Carolina,6807,37073
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"TYRRELL, NC",TYRRELL,NC,46.4,State Group 1,32.1,2363,1223,North Carolina,2363,37177
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HERTFORD, NC",HERTFORD,NC,46.3,State Group 1,28.8,14755,8531,North Carolina,14755,37091
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WARREN, IL",WARREN,IL,46.2,State Group 1,32.6,10474,5482,Illinois,10474,17187
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SCOTT, KY",SCOTT,KY,46.1,State Group 1,35,24625,11191,Kentucky,24625,21209
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HENDERSON, IL",HENDERSON,IL,46.1,State Group 1,27.3,3285,1628,Illinois,3285,17071
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MISSISSIPPI, MO",MISSISSIPPI,MO,46,State Group 1,32.4,6737,3659,Missouri,6737,29133
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"STARK, IL",STARK,IL,45.9,State Group 1,31.9,3800,1903,Illinois,3800,17175
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PUTNAM, IL",PUTNAM,IL,45.8,State Group 1,36,4118,2075,Illinois,4118,17155
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BUREAU, IL",BUREAU,IL,45.7,State Group 1,35.2,22582,11300,Illinois,22582,17011
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MILAM, TX",MILAM,TX,45.7,State Group 1,32.4,14027,6977,Texas,14027,48331
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MARSHALL, IL",MARSHALL,IL,45.7,State Group 1,34.2,8873,4593,Illinois,8873,17123
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"TOM GREEN, TX",TOM GREEN,TX,45.7,State Group 1,36.6,80065,38440,Texas,80065,48451
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MADISON, MO",MADISON,MO,45.6,State Group 1,28.1,1870,880,Missouri,1870,29123
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BALLARD, KY",BALLARD,KY,45.6,State Group 1,35.3,3964,2183,Kentucky,3964,21007
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"NELSON, KY",NELSON,KY,45.5,State Group 1,34.6,28483,15127,Kentucky,28483,21179
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HOLT, MO",HOLT,MO,45.5,State Group 1,33.9,2766,1464,Missouri,2766,29087
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LAMPASAS, TX",LAMPASAS,TX,45.4,State Group 1,36.2,15036,7145,Texas,15036,48281
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"IRON, MO",IRON,MO,45.3,State Group 1,26.9,1814,808,Missouri,1814,29093
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"EDGECOMBE, NC",EDGECOMBE,NC,45.3,State Group 1,28.8,36301,19637,North Carolina,36301,37065
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SHELBY, KY",SHELBY,KY,45.3,State Group 1,36.6,30279,13877,Kentucky,30279,21211
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MCCULLOCH, TX",MCCULLOCH,TX,45.3,State Group 1,34,3695,2018,Texas,3695,48307
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MADISON, KY",MADISON,KY,45.1,State Group 1,33.5,56883,26667,Kentucky,56883,21151
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CROSBY, TX",CROSBY,TX,45.1,State Group 1,22.1,366,92,Texas,366,48107
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LIVINGSTON, IL",LIVINGSTON,IL,45,State Group 1,32.5,22136,10778,Illinois,22136,17105
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WORTH, MO",WORTH,MO,45,State Group 1,31.7,1191,641,Missouri,1191,29227
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CHARLTON, GA",CHARLTON,GA,44.9,State Group 1,28.9,2550,1411,Georgia,2550,13049
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BLADEN, NC",BLADEN,NC,44.9,State Group 1,30.7,22984,12409,North Carolina,22984,37017
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FALLS, TX",FALLS,TX,44.8,State Group 1,30.7,7300,3541,Texas,7300,48145
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WHITFIELD, GA",WHITFIELD,GA,44.8,State Group 1,34.5,53106,21214,Georgia,53106,13313
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ALEXANDER, IL",ALEXANDER,IL,44.8,State Group 1,28.6,2559,1289,Illinois,2559,17003
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"IRION, TX",IRION,TX,44.8,State Group 1,38.8,918,492,Texas,918,48235
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LENOIR, NC",LENOIR,NC,44.7,State Group 1,31.3,40974,22827,North Carolina,40974,37107
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PASQUOTANK, NC",PASQUOTANK,NC,44.7,State Group 1,30.7,27222,13187,North Carolina,27222,37139
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"REAGAN, TX",REAGAN,TX,44.7,State Group 1,32.3,1187,542,Texas,1187,48383
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MASSAC, IL",MASSAC,IL,44.6,State Group 1,34.9,7740,4244,Illinois,7740,17127
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"DENT, MO",DENT,MO,44.5,State Group 1,30.2,8277,4131,Missouri,8277,29065
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CHOWAN, NC",CHOWAN,NC,44.5,State Group 1,33.4,10950,6074,North Carolina,10950,37041
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ELLIS, TX",ELLIS,TX,44.5,State Group 1,33.4,120387,51488,Texas,120387,48139
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HICKMAN, KY",HICKMAN,KY,44.3,State Group 1,31.9,1732,951,Kentucky,1732,21105
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FRANKLIN, KY",FRANKLIN,KY,44.3,State Group 1,33.9,29615,15456,Kentucky,29615,21073
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PANOLA, TX",PANOLA,TX,44.2,State Group 1,32.8,12325,5480,Texas,12325,48365
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SAINT FRANCOIS, MO",SAINT FRANCOIS,MO,44.2,State Group 1,29.3,9656,4790,Missouri,9656,29187
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BURLESON, TX",BURLESON,TX,44.2,State Group 1,32.4,9402,4494,Texas,9402,48051
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FULTON, KY",FULTON,KY,44.2,State Group 1,31.7,3403,1887,Kentucky,3403,21075
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"POWELL, KY",POWELL,KY,44.2,State Group 1,27.1,4564,2301,Kentucky,4564,21197
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WEBSTER, GA",WEBSTER,GA,44.2,State Group 1,24.4,86,38,Georgia,86,13307
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"RUNNELS, TX",RUNNELS,TX,44.2,State Group 1,33.4,4335,2268,Texas,4335,48399
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"COKE, TX",COKE,TX,44.1,State Group 1,36.8,2020,1191,Texas,2020,48081
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CHATTOOGA, GA",CHATTOOGA,GA,44.1,State Group 1,31.3,8819,4605,Georgia,8819,13055
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LIVINGSTON, KY",LIVINGSTON,KY,44,State Group 1,33.9,5985,3267,Kentucky,5985,21139
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WAYNE, MO",WAYNE,MO,44,State Group 1,31.6,6596,3391,Missouri,6596,29223
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HALIFAX, NC",HALIFAX,NC,44,State Group 1,29.2,35501,18618,North Carolina,35501,37083
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"STERLING, TX",STERLING,TX,44,State Group 1,33.8,678,328,Texas,678,48431
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"JACKSON, KY",JACKSON,KY,43.9,State Group 1,28.5,6303,2895,Kentucky,6303,21109
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CATOOSA, GA",CATOOSA,GA,43.9,State Group 1,33,23571,9881,Georgia,23571,13047
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LETCHER, KY",LETCHER,KY,43.8,State Group 1,28.1,7400,3498,Kentucky,7400,21133
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PULASKI, IL",PULASKI,IL,43.8,State Group 1,31.3,2472,1313,Illinois,2472,17153
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CARLISLE, KY",CARLISLE,KY,43.8,State Group 1,33.5,2733,1417,Kentucky,2733,21039
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ROCK ISLAND, IL",ROCK ISLAND,IL,43.7,State Group 1,32.1,80673,32722,Illinois,80673,17161
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"KAUFMAN, TX",KAUFMAN,TX,43.7,State Group 1,31.6,96452,39887,Texas,96452,48257
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MARSHALL, KY",MARSHALL,KY,43.5,State Group 1,36,21280,12141,Kentucky,21280,21157
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"STEPHENS, GA",STEPHENS,GA,43.5,State Group 1,34.3,17376,9234,Georgia,17376,13257
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ROBERTSON, TX",ROBERTSON,TX,43.5,State Group 1,29.4,6870,3137,Texas,6870,48395
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PAULDING, GA",PAULDING,GA,43.5,State Group 1,33.5,97054,43573,Georgia,97054,13223
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CARROLL, KY",CARROLL,KY,43.4,State Group 1,30.3,5934,2817,Kentucky,5934,21041
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LIVINGSTON, MO",LIVINGSTON,MO,43.4,State Group 1,31.7,8808,4535,Missouri,8808,29117
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"FRANKLIN, GA",FRANKLIN,GA,43.4,State Group 1,32.9,14276,6912,Georgia,14276,13119
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BOND, IL",BOND,IL,43.4,State Group 1,31,10031,4744,Illinois,10031,17005
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BARTON, KS",BARTON,KS,43.3,State Group 1,29.8,14647,5363,Kansas,14647,20009
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CORYELL, TX",CORYELL,TX,43.3,State Group 1,30,33695,14536,Texas,33695,48099
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BOLLINGER, MO",BOLLINGER,MO,43.3,State Group 1,30.1,5729,2391,Missouri,5729,29017
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CLAY, KY",CLAY,KY,43.3,State Group 1,30.5,15514,7251,Kentucky,15514,21051
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HARRISON, KY",HARRISON,KY,43.2,State Group 1,29.2,4964,2288,Kentucky,4964,21097
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BUTLER, MO",BUTLER,MO,43.2,State Group 1,28.9,23284,10852,Missouri,23284,29023
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MERCER, IL",MERCER,IL,43.1,State Group 1,29.5,7664,3375,Illinois,7664,17131
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"VERMILION, IL",VERMILION,IL,43.1,State Group 1,31,52842,27600,Illinois,52842,17183
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"NORTHAMPTON, NC",NORTHAMPTON,NC,43.1,State Group 1,29.3,12160,6726,North Carolina,12160,37131
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"MCCRACKEN, KY",MCCRACKEN,KY,43,State Group 1,35.8,48767,25366,Kentucky,48767,21145
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"PERQUIMANS, NC",PERQUIMANS,NC,43,State Group 1,33.2,9402,4963,North Carolina,9402,37143
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"STOKES, NC",STOKES,NC,43,State Group 1,33.2,29343,15688,North Carolina,29343,37169
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CLINTON, IL",CLINTON,IL,43,State Group 1,33.5,21480,10161,Illinois,21480,17027
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"BELL, TX",BELL,TX,42.9,State Group 1,32.2,233453,98020,Texas,233453,48027
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"ESTILL, KY",ESTILL,KY,42.9,State Group 1,32.1,8548,4765,Kentucky,8548,21065
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"JOHNSON, TX",JOHNSON,TX,42.8,State Group 1,32.9,106496,45321,Texas,106496,48251
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"RUSH, KS",RUSH,KS,42.8,State Group 1,26.9,813,270,Kansas,813,20165
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"RICHLAND, IL",RICHLAND,IL,42.8,State Group 1,32.3,10684,5208,Illinois,10684,17159
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"SCOTT, MO",SCOTT,MO,42.8,State Group 1,30.8,19077,8817,Missouri,19077,29201
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"WASHINGTON, KY",WASHINGTON,KY,42.8,State Group 1,28,4182,2007,Kentucky,4182,21229
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"CLINTON, MO",CLINTON,MO,42.7,State Group 1,30.2,6974,3110,Missouri,6974,29049
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"KNOX, IL",KNOX,IL,42.7,State Group 1,32.7,34444,17687,Illinois,34444,17095
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"LA SALLE, IL",LASALLE,IL,42.7,State Group 1,33.3,68925,33052,Illinois,68925,17099
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"HARRISON, MO",HARRISON,MO,42.6,State Group 1,27.9,2433,1254,Missouri,2433,29081
