Start,Stop,State,Obesity,Overweight,N,N_DiagnosedHTN,state_fips,County_ST,Ncount_nested
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Alabama,35.7,27.5,583708,260051,01,Total,583708
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Alaska,20.8,22.1,20449,4413,02,Total,20449
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,"American Samoa, South Pacific",42.7,13.5,459,211,60,Total,459
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Arizona,26,24.8,1828704,481112,04,Total,1828704
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Arkansas,36,26.3,899437,384309,05,Total,899437
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,California,21.7,22.4,8913387,2076869,06,Total,8913387
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Colorado,23.1,26.9,2786564,746223,08,Total,2786564
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Connecticut,31.5,30.9,2353415,908083,09,Total,2353415
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Delaware,31.4,24.7,455943,155689,10,Total,455943
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,District of Columbia,17.9,18.7,193127,31593,11,Total,193127
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Federated States of Micronesia,35.3,20.6,102,51,57,NA,NA
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Florida,31.2,31.2,8314252,2884595,12,Total,8314252
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Georgia,33.2,28.7,3043504,1129011,13,Total,3043504
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Guam,20,19.8,1077,315,66,Total,1077
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Hawaii,23,25.9,624945,221989,15,Total,624945
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Idaho,29.2,26,885158,324887,16,Total,885158
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Illinois,34.4,28.6,5196454,1931839,17,Total,5196454
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Indiana,37,27.8,2470501,1015084,18,Total,2470501
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Iowa,33,24.9,1961445,566265,19,Total,1961445
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Kansas,34.4,29.5,908300,351778,20,Total,908300
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Kentucky,39.4,31.8,2116265,946584,21,Total,2116265
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Louisiana,35.5,29,2179651,846944,22,Total,2179651
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Maine,29.1,25.9,725767,279903,23,Total,725767
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Marshall Islands,27.5,17.4,69,28,64,NA,NA
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Maryland,34.7,29.2,1847982,694338,24,Total,1847982
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Massachusetts,22.7,23.3,3841002,1174082,25,Total,3841002
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Michigan,34.7,29.6,4858737,1823853,26,Total,4858737
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Minnesota,27.2,23,2571920,904952,27,Total,2571920
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Mississippi,41.1,30,1594133,752521,28,Total,1594133
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Missouri,34,26.5,1069350,368619,29,Total,1069350
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Montana,26,24.4,355125,92213,30,Total,355125
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Nebraska,33.1,25.5,815321,288046,31,Total,815321
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,Nevada,26.4,25.2,954199,225809,32,Total,954199
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,New Hampshire,26.4,24.4,565856,175588,33,Total,565856
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,New Jersey,32.5,32.8,2870575,1013120,34,Total,2870575
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,New Mexico,26.4,23.5,345759,95919,35,Total,345759
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,New York,29.5,29,6709651,2298525,36,Total,6709651
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,None of the above,NA,NA,NA,6512,NA,Total,373
2024-01-01T00:00:00Z,2025-07-10T00:00:00Z,North Carolina,33.2,28.3,5439528,2152237,37,Total,5439528
