StateAbbr,StateDesc,fips,County,obesity,TotalPop18plus,obesity_lci,obesity_uci
AK,Alaska,02070,Dillingham,37.3,3253,30.6,44.1
CO,Colorado,08113,San Miguel,25.7,6720,19.4,32.8
AL,Alabama,01003,Baldwin,36.8,195167,31.4,42.5
CA,California,06079,San Luis Obispo,26.6,234072,21,32.4
AL,Alabama,01111,Randolph,40.3,17785,32.3,48.8
AL,Alabama,01001,Autauga,38.9,45878,32,46.2
IL,Illinois,17049,Effingham,35.2,26204,26.9,43.8
IL,Illinois,17167,Sangamon,37.9,152349,30.6,45.5
IA,Iowa,19051,Davis,40.1,6411,32,48.8
IA,Iowa,19143,Osceola,39.3,4655,31.6,47.2
KY,Kentucky,21027,Breckinridge,40.4,16225,32.6,49
AL,Alabama,01035,Conecuh,44.4,8943,35.7,53
AL,Alabama,01077,Lauderdale,35.2,77472,28.5,42.6
LA,Louisiana,22021,Caldwell,38.8,7348,31.2,46.8
MD,Maryland,24015,Cecil,38,81893,33.4,42.8
MA,Massachusetts,25005,Bristol,33.1,462889,29,37.4
MA,Massachusetts,25011,Franklin,25.9,59255,21,31.2
MA,Massachusetts,25021,Norfolk,27.1,578736,23.4,31.3
AZ,Arizona,04003,Cochise,32.6,99550,28.1,37.7
MS,Mississippi,28027,Coahoma,47.8,14716,40.1,55.9
FL,Florida,12069,Lake,34.2,332891,29.1,39.2
MS,Mississippi,28151,Washington,44.5,31706,37.9,51.3
CA,California,06111,Ventura,28.9,652677,24.2,34.4
NV,Nevada,32019,Lyon,36,49044,28.9,43
NH,New Hampshire,33019,Sullivan,32.4,36281,27.4,37.6
NJ,New Jersey,34015,Gloucester,36.4,242244,30.7,42.5
NJ,New Jersey,34021,Mercer,30.6,299195,25.8,35.6
NY,New York,36083,Rensselaer,34.5,129725,28.9,40.6
CA,California,06049,Modoc,29.7,6957,22.9,37.7
NC,North Carolina,37087,Haywood,31.7,51693,24.8,39.6
NC,North Carolina,37171,Surry,35.5,56506,28.3,43.3
ND,North Dakota,38103,Wells,37.1,3106,29.7,45.3
OH,Ohio,39147,Seneca,46,43023,40.1,52.2
OR,Oregon,41057,Tillamook,30.6,22595,24,37.6
FL,Florida,12007,Bradford,38.6,21654,32.7,45
SD,South Dakota,46019,Butte,34.6,8085,27.2,42.6
SD,South Dakota,46079,Lake,34.7,8804,27.4,42.6
CA,California,06037,Los Angeles,26.2,7737357,23.5,29.1
AR,Arkansas,05067,Jackson,40.6,13317,33.3,48.1
AR,Arkansas,05141,Van Buren,37,13026,28.9,44.7
TX,Texas,48483,Wheeler,39.4,3637,31.2,48.3
VA,Virginia,51061,Fauquier,33.7,57554,27.6,40.4
VA,Virginia,51069,Frederick,37.8,73724,31.5,44.8
VA,Virginia,51073,Gloucester,37.1,31670,30.4,43.9
VA,Virginia,51750,Radford,33.1,14682,25.8,41
VA,Virginia,51760,Richmond,35.1,190476,30.1,40.1
AR,Arkansas,05087,Madison,36,13373,28.8,43.9
WA,Washington,53059,Skamania,36.5,10315,30.4,42.6
WV,West Virginia,54001,Barbour,40.2,12296,32.8,47.8
WV,West Virginia,54017,Doddridge,43.3,6663,34.7,52.3
WV,West Virginia,54031,Hardy,43,11387,35.4,51
WV,West Virginia,54057,Mineral,42.8,21578,35.7,50.3
WV,West Virginia,54081,Raleigh,39.8,57629,34.2,45.6
WV,West Virginia,54109,Wyoming,46.6,16445,38.8,54.1
WI,Wisconsin,55025,Dane,30.8,458016,27.2,34.5
WI,Wisconsin,55139,Winnebago,38.4,136750,33.3,43.5
AR,Arkansas,05121,Randolph,37.2,14222,30.1,44.9
CA,California,06051,Mono,29.2,10782,22.1,37
AL,Alabama,01023,Choctaw,46,9977,37.5,54.2
AL,Alabama,01109,Pike,37.7,26725,30.8,45.1
CA,California,06077,San Joaquin,33.7,586031,28.6,39.2
AK,Alaska,02122,Kenai Peninsula,32.5,47342,27.8,36.7
AZ,Arizona,04021,Pinal,38.4,363401,33.9,42.8
AL,Alabama,01061,Geneva,38.6,20925,31,46.3
CA,California,06093,Siskiyou,32.6,34974,25.5,40
AR,Arkansas,05103,Ouachita,42.4,17132,35.2,49.6
AK,Alaska,02170,Matanuska-Susitna,32,84362,28.1,36.1
AR,Arkansas,05043,Drew,40.4,13179,33.5,48.6
CA,California,06075,San Francisco,17.6,697737,14.2,21.4
AR,Arkansas,05023,Cleburne,35.9,20610,29,43.4
AR,Arkansas,05027,Columbia,38.5,17519,31.3,46.2
AR,Arkansas,05073,Lafayette,42.7,4971,34.5,51.1
AL,Alabama,01007,Bibb,41.4,17660,33.9,49.4
AR,Arkansas,05107,Phillips,50.7,11406,43.1,57.8
AR,Arkansas,05061,Howard,39.2,9352,31.5,47.2
AK,Alaska,02290,Yukon-Koyukuk,39.4,3757,31.9,46.8
CA,California,06017,El Dorado,24.7,155421,19.4,31
AR,Arkansas,05039,Dallas,43.6,4962,35.2,52.3
CA,California,06031,Kings,31.6,112177,25,39
AR,Arkansas,05057,Hempstead,40.8,14606,33.3,48.8
AR,Arkansas,05009,Boone,39,29646,32.1,46.3
KS,Kansas,20109,Logan,38.7,2030,31,47
AL,Alabama,01045,Dale,44.3,38039,36.9,52.2
AZ,Arizona,04009,Graham,39.8,28375,32.8,47.1
AR,Arkansas,05091,Miller,43.7,32501,36.1,51.2
AL,Alabama,01123,Tallapoosa,41.8,32936,34.1,49.7
AR,Arkansas,05083,Logan,38,16839,30.3,46
AL,Alabama,01103,Morgan,38.7,95875,32,45.8
AL,Alabama,01029,Cleburne,39.6,11832,31.5,48.5
AL,Alabama,01091,Marengo,46.2,14573,38.2,54.5
AK,Alaska,02050,Bethel,41.1,11844,34.9,47.1
CA,California,06097,Sonoma,28.2,392503,22.9,34
AR,Arkansas,05117,Prairie,37.8,6413,29.7,46.1
CA,California,06083,Santa Barbara,30.1,346432,24.6,36
AR,Arkansas,05137,Stone,36.9,10116,29.7,44.4
AR,Arkansas,05077,Lee,44.9,6854,36.2,53
AR,Arkansas,05101,Newton,39.2,5757,31.3,47.7
AZ,Arizona,04012,La Paz,33.7,13903,26.8,41.2
AR,Arkansas,05147,Woodruff,40.9,4743,32.8,49.4
AL,Alabama,01129,Washington,41.4,11883,33.5,49.8
AL,Alabama,01039,Covington,43.8,29340,36.2,51.4
CA,California,06063,Plumas,29.1,16081,22.4,36.7
AR,Arkansas,05131,Sebastian,35.7,98606,30,41.7
AK,Alaska,02185,North Slope,41.9,8035,34.7,49.5
AL,Alabama,01025,Clarke,44,17657,35.9,52.1
AK,Alaska,02060,Bristol Bay,32.1,680,25.2,39.5
AZ,Arizona,04027,Yuma,40.5,155973,35.3,46
AR,Arkansas,05051,Garland,37.6,80594,31.9,44
AL,Alabama,01097,Mobile,42.1,316433,37.7,46.8
AK,Alaska,02068,Denali,32.1,1306,25.3,39.5
AK,Alaska,02110,Juneau,33.4,25234,28.6,38.3
CA,California,06025,Imperial,38,128478,30.7,45.6
CA,California,06089,Shasta,28.8,142098,22.8,35.5
AR,Arkansas,05133,Sevier,41.4,11258,33.8,49.5
AR,Arkansas,05013,Calhoun,38.4,3837,30.5,46.5
CA,California,06039,Madera,34.9,116890,28,42.3
AR,Arkansas,05097,Montgomery,39.8,7012,31.8,48.1
CA,California,06043,Mariposa,31.8,14037,24.4,39.4
AR,Arkansas,05113,Polk,36.6,15084,29.7,44
AL,Alabama,01043,Cullman,40,70581,32.5,47.9
AL,Alabama,01089,Madison,35.3,317999,30.1,40.7
AR,Arkansas,05127,Scott,38.3,7554,30.2,46.7
AR,Arkansas,05003,Ashley,41.9,14253,34.5,49.9
AR,Arkansas,05143,Washington,32.3,196886,27.6,36.8
AL,Alabama,01059,Franklin,39.4,24099,31.4,47.9
CA,California,06029,Kern,35.6,655754,30.2,41.2
AR,Arkansas,05015,Carroll,35.7,22522,28.4,43.5
AR,Arkansas,05053,Grant,35.4,14212,28.2,42.9
AR,Arkansas,05149,Yell,38.6,15366,30.9,46.6
AK,Alaska,02063,Chugach,31,5338,24.8,37.8
AK,Alaska,02130,Ketchikan Gateway,34.5,10954,29.1,40.4
AR,Arkansas,05049,Fulton,38.8,9746,31.1,46.4
AZ,Arizona,04015,Mohave,36.2,185152,31.4,41.1
AZ,Arizona,04019,Pima,31.5,850216,27.6,35.4
AZ,Arizona,04023,Santa Cruz,31.5,36389,25.2,38.5
AK,Alaska,02100,Haines,32.6,1705,25.8,39.9
AL,Alabama,01033,Colbert,40.6,45809,32.6,49
CA,California,06081,San Mateo,21.7,588683,17.5,26.3
AL,Alabama,01037,Coosa,42.9,8479,34.9,51.3
AR,Arkansas,05079,Lincoln,39.5,10898,31.8,47.5
AR,Arkansas,05125,Saline,37.4,98378,31.3,43.8
AL,Alabama,01041,Crenshaw,40.3,10003,32.3,48.6
AL,Alabama,01107,Pickens,43.8,15176,36.1,51.8
AL,Alabama,01055,Etowah,41.4,81013,34.1,48.7
AR,Arkansas,05033,Crawford,39.7,46441,32.8,46.9
AL,Alabama,01047,Dallas,50.2,28171,42.7,57.8
AR,Arkansas,05017,Chicot,44.4,7738,36.3,52.8
AR,Arkansas,05129,Searcy,40.9,6329,32.9,49.4
AR,Arkansas,05069,Jefferson,43.7,50524,37.6,50
AK,Alaska,02158,Kusilvak,45.5,4793,37.1,54.6
AZ,Arizona,04007,Gila,33.8,43714,29.3,38.5
AK,Alaska,02090,Fairbanks North Star,31.8,73021,27.6,36.1
CA,California,06071,San Bernardino,35.1,1635914,30.8,40.1
AL,Alabama,01093,Marion,39.7,23044,31.6,47.9
CA,California,06035,Lassen,32.7,24446,25.5,40.6
AR,Arkansas,05145,White,40.1,59836,33.5,47
AL,Alabama,01051,Elmore,36.4,70369,29.7,43.7
CA,California,06067,Sacramento,34.1,1225015,29.8,38.7
AR,Arkansas,05063,Independence,39.2,28806,32.1,46.4
CA,California,06013,Contra Costa,28.6,906227,24,33.2
US,United States,59,NA,33.3,260836730,33,33.6
CA,California,06033,Lake,30.2,53338,23.8,37.5
AR,Arkansas,05059,Hot Spring,38.7,26866,31.8,45.9
AL,Alabama,01101,Montgomery,44.2,172697,38.6,50.2
AL,Alabama,01085,Lowndes,49.4,7650,40.7,57.9
AR,Arkansas,05119,Pulaski,38.1,307676,33.9,42.7
AK,Alaska,02066,Copper River,33.1,1955,25.9,40.7
AR,Arkansas,05055,Greene,37.5,35423,30.8,45
AZ,Arizona,04005,Coconino,25.2,116202,21.6,29.2
CA,California,06091,Sierra,31.3,2684,23.7,39.6
CA,California,06021,Glenn,33.6,20780,26.9,41.2
AR,Arkansas,05093,Mississippi,42.9,28853,35.5,50.8
AR,Arkansas,05105,Perry,37.7,7925,29.9,46.1
AZ,Arizona,04017,Navajo,38.1,81314,33.1,42.7
CA,California,06003,Alpine,29.3,998,22.4,36.9
AR,Arkansas,05007,Benton,34.3,226571,29.6,39.4
AL,Alabama,01015,Calhoun,37.7,91336,31.1,44.5
AR,Arkansas,05005,Baxter,41,34886,34,48.3
AR,Arkansas,05089,Marion,37.2,14040,30.1,45.2
AR,Arkansas,05011,Bradley,41.5,7691,33.5,49.5
AL,Alabama,01115,St. Clair,33.4,73225,26.8,40.4
AR,Arkansas,05135,Sharp,37.3,14115,29.8,45.3
CA,California,06069,San Benito,29,50683,22.6,35.6
CA,California,06061,Placer,25.9,327593,20.8,31.5
AL,Alabama,01063,Greene,50.4,5801,41.9,58.8
AL,Alabama,01017,Chambers,45.6,27025,37.5,53.6
AR,Arkansas,05109,Pike,36.9,7920,29.1,45.3
CA,California,06041,Marin,23.5,207716,18.3,29.3
AK,Alaska,02230,Skagway,34.2,924,26.6,42.5
AK,Alaska,02016,Aleutians West,30.1,4630,24.4,37.8
CA,California,06055,Napa,28.4,108501,22,35.4
AL,Alabama,01099,Monroe,42.5,15344,34.4,51.1
AK,Alaska,02275,Wrangell,33.8,1682,26.8,41.7
AL,Alabama,01031,Coffee,34.2,41812,27.9,40.7
AR,Arkansas,05041,Desha,45.1,8099,37.3,52.7
CA,California,06027,Inyo,29.6,14942,22.6,37.2
CA,California,06087,Santa Cruz,28.2,216642,22.7,34.4
AR,Arkansas,05045,Faulkner,36.3,99253,30.6,42
CA,California,06007,Butte,30.2,165784,23.7,37
AL,Alabama,01049,DeKalb,39,54954,31.7,46.5
AK,Alaska,02150,Kodiak Island,30.3,9749,24.3,36.5
CA,California,06045,Mendocino,29,71066,22.7,36.1
CA,California,06015,Del Norte,33.9,21423,26.2,42.3
AL,Alabama,01105,Perry,48.3,6354,40.3,57.3
AR,Arkansas,05071,Johnson,38.9,19674,31,47.2
AR,Arkansas,05099,Nevada,41.4,6364,33.3,50.3
AL,Alabama,01133,Winston,36.8,18962,29,45.2
AL,Alabama,01021,Chilton,36.7,35069,29.5,44.3
AL,Alabama,01067,Henry,38.4,14074,30.7,46.7
AR,Arkansas,05025,Cleveland,40.9,5842,33,49
AR,Arkansas,05115,Pope,35.2,49399,29.2,41.6
AR,Arkansas,05029,Conway,41.5,16346,33.4,49.9
CA,California,06023,Humboldt,32.1,110011,25.8,38.9
CA,California,06009,Calaveras,29.6,38508,23.1,36.5
AL,Alabama,01119,Sumter,42.4,9573,34.2,50.9
AL,Alabama,01095,Marshall,38.3,74082,31,46.2
AK,Alaska,02105,Hoonah-Angoon,32.2,1905,24.9,39.9
AK,Alaska,02195,Petersburg,31,2664,24.8,37.9
AL,Alabama,01053,Escambia,43.4,28378,36,51.2
AL,Alabama,01081,Lee,33.9,143546,27.7,39.5
CA,California,06059,Orange,25.7,2496667,22.2,29.5
AL,Alabama,01011,Bullock,49.6,8049,40.8,58.3
AZ,Arizona,04013,Maricopa,32.6,3532288,29.2,36.2
AL,Alabama,01113,Russell,47.1,44348,39.2,55.1
AK,Alaska,02013,Aleutians East,31.7,3204,25,39
AL,Alabama,01019,Cherokee,39.9,20586,31.8,48.2
CA,California,06073,San Diego,25.3,2596582,22.1,28.9
AL,Alabama,01073,Jefferson,39.5,515688,35.3,44.1
AR,Arkansas,05035,Crittenden,41.3,34396,34.4,48.8
AR,Arkansas,05085,Lonoke,38.4,56799,31.9,45.3
AL,Alabama,01087,Macon,46,15413,37.7,54.5
AR,Arkansas,05019,Clark,37.1,17009,29.9,44.4
AR,Arkansas,05031,Craighead,36.9,84884,30.9,43.6
AK,Alaska,02180,Nome,37.1,6518,30.6,44.2
AZ,Arizona,04025,Yavapai,27.1,208516,23.2,31.2
AR,Arkansas,05001,Arkansas,40.9,12710,33.7,48.4
AZ,Arizona,04001,Apache,38.8,48388,33.5,43.8
AL,Alabama,01121,Talladega,42.6,64258,35,50.3
AR,Arkansas,05111,Poinsett,40.6,17104,32.6,48.2
AL,Alabama,01127,Walker,43.1,49952,36.1,50.4
AR,Arkansas,05081,Little River,38.6,9241,30.3,47.6
AK,Alaska,02198,Prince of Wales-Hyder,38.3,4434,31.1,45.5
AL,Alabama,01005,Barbour,43.3,19675,35.4,51.6
AL,Alabama,01075,Lamar,38.4,10722,30.1,47.2
CA,California,06053,Monterey,32.3,322881,26.7,38.4
AR,Arkansas,05047,Franklin,40.2,13428,32.1,48.4
CA,California,06065,Riverside,33.7,1880349,29.4,38
AL,Alabama,01125,Tuscaloosa,39.5,189291,33.9,45.1
AL,Alabama,01071,Jackson,38.9,42087,31,47.3
AL,Alabama,01057,Fayette,39,12706,31.2,47.4
CA,California,06095,Solano,32.7,351591,27.1,38.7
AZ,Arizona,04011,Greenlee,32.5,6806,25.6,39.8
CA,California,06001,Alameda,19.6,1311253,16.4,23.2
AR,Arkansas,05095,Monroe,43,5069,34.8,51.9
AR,Arkansas,05123,St. Francis,44.5,17669,37.8,51.2
CA,California,06057,Nevada,29.8,85163,23.2,36.8
AK,Alaska,02282,Yakutat,33.2,563,25.7,41.2
CA,California,06085,Santa Clara,22.2,1490785,18.8,25.7
AL,Alabama,01079,Lawrence,41.1,26022,33.1,49.4
CA,California,06019,Fresno,38.6,734510,33.3,44.2
AR,Arkansas,05037,Cross,38.5,12703,31.1,46.3
AK,Alaska,02188,Northwest Arctic,37.9,4634,30,46
CA,California,06005,Amador,27.5,35068,21.3,34.3
AL,Alabama,01065,Hale,44.5,11112,36.3,52.8
AR,Arkansas,05021,Clay,37.7,11193,30.3,45.8
AL,Alabama,01083,Limestone,36.4,86794,29.4,43.6
AR,Arkansas,05065,Izard,35.9,11539,28.9,43.8
CA,California,06011,Colusa,32,16137,24.6,39.3
AR,Arkansas,05139,Union,41.1,28789,34.2,47.9
AL,Alabama,01013,Butler,45,14473,37.3,52.9
AL,Alabama,01009,Blount,37.3,46000,29.8,45
AK,Alaska,02240,Southeast Fairbanks,38,5207,32.3,43.8
CA,California,06047,Merced,34,207099,27.1,41.1
AL,Alabama,01069,Houston,37.2,83692,30.9,43.6
AL,Alabama,01131,Wilcox,47.8,7838,39.1,56.6
AK,Alaska,02164,Lake and Peninsula,39,976,30.7,47.2
AL,Alabama,01117,Shelby,32,179068,26.7,37.6
AL,Alabama,01027,Clay,39.5,11235,31.3,47.9
AR,Arkansas,05075,Lawrence,41,12618,33.6,48.6
AK,Alaska,02020,Anchorage,29.6,219637,26.1,33
