,index,page,link,partition_key,file_name,file_extension,file_size_bytes,modified_at,external_id,download_link
0,0,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a0820f06c1e/link,,retail-store-visitors-jan_0_0_0.csv.gz,.csv.gz,262160736,2025-05-28T15:26:42.376000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a0820f06c1e,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a0820f06c1e/link
1,1,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a18d6a26597/link,,retail-store-visitors-jan_0_0_10.csv.gz,.csv.gz,262151489,2025-05-28T15:32:07.026000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a18d6a26597,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a18d6a26597/link
2,2,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a2311a3ba19/link,,retail-store-visitors-jan_0_0_11.csv.gz,.csv.gz,25820994,2025-05-28T15:32:39.287000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a2311a3ba19,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a2311a3ba19/link
3,3,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a37116b05c5/link,,retail-store-visitors-jan_0_0_1.csv.gz,.csv.gz,262197371,2025-05-28T15:27:14.039000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a37116b05c5,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a37116b05c5/link
4,4,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a4000582c36/link,,retail-store-visitors-jan_0_0_2.csv.gz,.csv.gz,262189421,2025-05-28T15:27:46.227000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a4000582c36,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a4000582c36/link
5,5,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a5f77b105b7/link,,retail-store-visitors-jan_0_0_3.csv.gz,.csv.gz,262204411,2025-05-28T15:28:18.852000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a5f77b105b7,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a5f77b105b7/link
6,6,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a61e910426b/link,,retail-store-visitors-jan_0_0_4.csv.gz,.csv.gz,262150990,2025-05-28T15:28:51.504000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a61e910426b,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a61e910426b/link
7,7,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a7596673b8c/link,,retail-store-visitors-jan_0_0_5.csv.gz,.csv.gz,262189134,2025-05-28T15:29:24.666000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a7596673b8c,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a7596673b8c/link
8,8,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a8d64fdd2b3/link,,retail-store-visitors-jan_0_0_6.csv.gz,.csv.gz,262167342,2025-05-28T15:29:56.998000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a8d64fdd2b3,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a8d64fdd2b3/link
9,9,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a967b143748/link,,retail-store-visitors-jan_0_0_7.csv.gz,.csv.gz,262191815,2025-05-28T15:30:29.253000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3a967b143748,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3a967b143748/link
10,10,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3aa25fbe2994/link,,retail-store-visitors-jan_0_0_8.csv.gz,.csv.gz,262187056,2025-05-28T15:31:01.712000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3aa25fbe2994,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3aa25fbe2994/link
11,11,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ab375673536/link,,retail-store-visitors-jan_0_0_9.csv.gz,.csv.gz,262173036,2025-05-28T15:31:34.151000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3ab375673536,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ab375673536/link
12,12,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ac63aedea9e/link,,retail-store-visitors-jan_0_1_0.csv.gz,.csv.gz,262186817,2025-05-28T15:26:42.623000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3ac63aedea9e,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ac63aedea9e/link
13,13,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ad7b7122fce/link,,retail-store-visitors-jan_0_1_10.csv.gz,.csv.gz,262157066,2025-05-28T15:32:08.034000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3ad7b7122fce,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ad7b7122fce/link
14,14,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ae073b38391/link,,retail-store-visitors-jan_0_1_11.csv.gz,.csv.gz,35330176,2025-05-28T15:32:39.197000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3ae073b38391,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3ae073b38391/link
15,15,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3afb9a84b777/link,,retail-store-visitors-jan_0_1_1.csv.gz,.csv.gz,262173695,2025-05-28T15:27:15.020000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3afb9a84b777,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3afb9a84b777/link
16,16,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3b0bb1292692/link,,retail-store-visitors-jan_0_1_2.csv.gz,.csv.gz,262179040,2025-05-28T15:27:47.594000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3b0bb1292692,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3b0bb1292692/link
17,17,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3b125bfdae24/link,,retail-store-visitors-jan_0_1_3.csv.gz,.csv.gz,262198519,2025-05-28T15:28:20.139000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3b125bfdae24,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3b125bfdae24/link
18,18,1,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3b2eadca63aa/link,,retail-store-visitors-jan_0_1_4.csv.gz,.csv.gz,262184901,2025-05-28T15:28:53.177000+00:00,dwll_01981a90-ff2c-7fa0-bd25-3b2eadca63aa,https://app.deweydata.io/api/v1/downloads/01981a90-ff2c-7fa0-bd25-3b2eadca63aa/link
