variable,estimate,lci,uci,type,group
height_cm,1.730018361568934,1.7291249714567805,1.7309117516810875,Continuous,NA
weight_kg,85.37861475030668,85.20611372620242,85.55111577441095,Continuous,NA
bmi,28.451968223434335,28.39854561999868,28.50539082686999,Continuous,NA
age_group_pursuant,4.6248174891292155,4.432773621223704,4.824761354046233,Grouped,18-19
age_group_pursuant,54.89489506333841,54.507339424373335,55.281857751207596,Grouped,20-44
age_group_pursuant,25.686827278109853,25.354840920381687,26.021645186121123,Grouped,45-64
age_group_pursuant,14.793460170403701,14.547167243316913,15.043188923253698,Grouped,65plus
sex,32.524887273064266,32.14425601346808,32.90783987955431,Grouped,Female
sex,67.47511272693575,67.09216012044568,67.85574398653192,Grouped,Male
urban,6.0747867956722965,5.92826596195148,6.224689360631117,Grouped,rural
urban,93.9252132043277,93.77531063936888,94.0717340380485,Grouped,urban
raceeth,18.104916443740738,17.742241618264107,18.473339895317487,Grouped,Hispanic
raceeth,6.465086936085022,6.22950684358242,6.7089385181607675,Grouped,NH asian
raceeth,11.469835559830157,11.208267187568891,11.736701303889019,Grouped,NH black
raceeth,7.796892642943799,7.583378064878913,8.015897424503347,Grouped,NH other
raceeth,56.163268509086116,55.76899421881849,56.55676603192582,Grouped,NH white
age_group,59.97763708299119,59.60129960765921,60.35280083978408,Grouped,18-44
age_group,25.206596555836857,24.87478692656028,25.541327466835778,Grouped,45-64
age_group,14.815766362206602,14.568599812890698,15.066386740475307,Grouped,65plus
bmi_category,30.036561358573138,29.670932404219165,30.404748030752277,Grouped,Normal weight
bmi_category,33.071049370889845,32.7031738747352,33.441006722463484,Grouped,Obese
bmi_category,34.94118709174527,34.56969350795042,35.31451815455103,Grouped,Overweight
bmi_category,1.951202186211653,1.8292922372907832,2.081064382237651,Grouped,Underweight
