variable,estimate,lci,uci,type,group
height_cm,1.7040872925042174,1.7033303127534596,1.7048442722549753,Continuous,NA
weight_kg,82.85870873525761,82.71444129389154,83.00297617662368,Continuous,NA
bmi,28.454588287611504,28.409096053362834,28.500080521860173,Continuous,NA
age_group_pursuant,3.49057586164834,3.3447355890657753,3.642535550776466,Grouped,18-19
age_group_pursuant,41.40334245470258,41.072251138987994,41.735212465037336,Grouped,20-44
age_group_pursuant,31.49590683680351,31.189412731099708,31.804020739487616,Grouped,45-64
age_group_pursuant,23.610174952271223,23.355198396831256,23.8670683437596,Grouped,65plus
sex,49.272404204301544,48.936855218636445,49.60801875448186,Grouped,Female
sex,50.727595795698456,50.39198124551814,51.063144781363555,Grouped,Male
urban,6.365818780686322,6.245665864612361,6.488123213108139,Grouped,rural
urban,93.63418121931369,93.51187678689186,93.75433413538764,Grouped,urban
raceeth,16.193956774831467,15.895191610507823,16.497236013050497,Grouped,Hispanic
raceeth,5.8837915539445955,5.676584198415216,6.098073431203171,Grouped,NH asian
raceeth,11.494170477354743,11.276337788979871,11.715655533048055,Grouped,NH black
raceeth,7.37107345049374,7.18996578951178,7.556371602671268,Grouped,NH other
raceeth,59.05700794411022,58.72093434801088,59.392237544033534,Grouped,NH white
age_group,45.17113939027572,44.837562779059354,45.505150472566285,Grouped,18-44
age_group,31.105569830696705,30.798223820745484,31.41459061689486,Grouped,45-64
age_group,23.723290779351167,23.466335296097977,23.982178244280718,Grouped,65plus
bmi_category,30.546967203910558,30.233930545001115,30.861811239486908,Grouped,Normal weight
bmi_category,33.31416857469394,33.00156489825701,33.62824710035139,Grouped,Obese
bmi_category,34.11375345877227,33.79860476780932,34.43031240300935,Grouped,Overweight
bmi_category,2.025110768080161,1.920528407273752,2.135264175461164,Grouped,Underweight
