strata,variable,estimate,lci,uci,type,Stratification
18-19,overweight,23.53666828248334,21.669419135650063,25.51241231348961,Proportion,age_group_pursuant
18-19,obesity,15.508442554171225,14.122655297097433,17.003286882641156,Proportion,age_group_pursuant
20-44,overweight,31.92068642497235,31.4139101584056,32.43177226871598,Proportion,age_group_pursuant
20-44,obesity,32.30898799810837,31.792695673562942,32.8296290521082,Proportion,age_group_pursuant
45-64,overweight,35.81461086070222,35.25901311499357,36.374044654177744,Proportion,age_group_pursuant
45-64,obesity,38.61276669314425,38.05495721641359,39.17358186464275,Proportion,age_group_pursuant
65plus,overweight,37.254364508462714,36.664675430386005,37.847870205328846,Proportion,age_group_pursuant
65plus,obesity,30.64099560663889,30.07936931186145,31.208427789875063,Proportion,age_group_pursuant
Female,overweight,29.20640214236557,28.770031374562215,29.646636824550797,Proportion,sex
Female,obesity,34.04161825612486,33.58905110682264,34.49711567518682,Proportion,sex
Male,overweight,38.88033058422448,38.43088211309345,39.33167751481299,Proportion,sex
Male,obesity,32.60758679850358,32.17592032997139,33.04222311694266,Proportion,sex
Hispanic,overweight,35.73680917530035,34.686886971468724,36.80060481256825,Proportion,raceeth
Hispanic,obesity,36.715230908482695,35.65177575783253,37.79177759468794,Proportion,raceeth
NH asian,overweight,31.974415545389267,30.29306794840326,33.70396170865127,Proportion,raceeth
NH asian,obesity,13.290543979735093,11.957236577289818,14.747620213721724,Proportion,raceeth
NH black,overweight,31.55685291955308,30.577137811626535,32.553239308043324,Proportion,raceeth
NH black,obesity,43.03086359284707,42.01332371102403,44.05432470628029,Proportion,raceeth
NH other,overweight,33.13046022089244,31.94741161136485,34.33521477009389,Proportion,raceeth
NH other,obesity,33.45640220851392,32.27054356354132,34.66353551210019,Proportion,raceeth
NH white,overweight,34.50221034473956,34.16550773574386,34.84047512794021,Proportion,raceeth
NH white,obesity,32.467603731144045,32.137324748510046,32.799636476081126,Proportion,raceeth
rural,overweight,33.711892982286464,32.761430821387684,34.67570912812548,Proportion,urban
rural,obesity,38.31276631007658,37.33396365207483,39.301136895448224,Proportion,urban
urban,overweight,34.14079425568396,33.810596470196565,34.472537285944995,Proportion,urban
urban,obesity,32.97447501445007,32.64733214642199,33.303275108652166,Proportion,urban
NA,overweight,42.122094857814304,29.010670183146647,56.447387234853096,Proportion,urban
NA,obesity,29.27185706784391,18.88798126817706,42.381574934703806,Proportion,urban
Alabama,overweight,33.69289169989842,31.73158888399531,35.71200600191999,Proportion,state_names
Alabama,obesity,38.265026545897676,36.27177272013345,40.2985512291483,Proportion,state_names
Alaska,overweight,36.43638622371442,34.64715324957571,38.263918736151645,Proportion,state_names
Alaska,obesity,32.14458917977515,30.406222858260318,33.93388035598618,Proportion,state_names
Arizona,overweight,33.49295645936313,31.91482227190649,35.10888654408785,Proportion,state_names
Arizona,obesity,33.227245846731975,31.633949244031395,34.85987247680033,Proportion,state_names
Arkansas,overweight,33.64296101091716,31.86966942536295,35.463562103881024,Proportion,state_names
Arkansas,obesity,37.37882331166003,35.551727501083235,39.24264297208263,Proportion,state_names
California,overweight,34.70702309416675,33.32803681463371,36.11216212821307,Proportion,state_names
California,obesity,28.08412013287324,26.770797515402105,29.435973211269552,Proportion,state_names
